Nivel de Bloom,Resultado de Aprendizaje
Análisis,Examinar los conceptos fundamentales de interfaces humano-computadora.
Evaluación,Cuestionar los conceptos fundamentales de computación ubicua.
Síntesis,Desarrollar los conceptos fundamentales de ingeniería de software.
Conocimiento,Describir los conceptos fundamentales de desarrollo web.
Evaluación,Cuestionar los conceptos fundamentales de inteligencia artificial.
Análisis,Determinar los conceptos fundamentales de algoritmos.
Evaluación,Diagnosticar los conceptos fundamentales de interfaces humano-computadora.
Síntesis,Desarrollar los conceptos fundamentales de sistemas expertos.
Comprensión,Comparar los conceptos fundamentales de gamificación.
Evaluación,Cuestionar los conceptos fundamentales de ética informática.
Evaluación,Validar los conceptos fundamentales de tecnologías móviles.
Aplicación,Usar los conceptos fundamentales de informática forense.
Análisis,Relacionar los conceptos fundamentales de gamificación.
Aplicación,Implementar los conceptos fundamentales de ética informática.
Análisis,Evaluar los conceptos fundamentales de compiladores.
Conocimiento,Describir los conceptos fundamentales de blockchain.
Evaluación,Justificar los conceptos fundamentales de metodologías ágiles.
Conocimiento,Describir los conceptos fundamentales de criptografía.
Comprensión,Distinguir los conceptos fundamentales de redes de computadoras.
Análisis,Relacionar los conceptos fundamentales de estructuras de datos.
Aplicación,Usar los conceptos fundamentales de informática forense.
Aplicación,Adaptar los conceptos fundamentales de interfaces humano-computadora.
Síntesis,Diseñar los conceptos fundamentales de simulación por computadora.
Análisis,Detectar los conceptos fundamentales de internet de las cosas.
Conocimiento,Reconocer los conceptos fundamentales de bioinformática.
Aplicación,Simular los conceptos fundamentales de computación en la nube.
Conocimiento,Nombrar los conceptos fundamentales de sistemas distribuidos.
Evaluación,Cuestionar los conceptos fundamentales de sistemas distribuidos.
Conocimiento,Definir los conceptos fundamentales de compiladores.
Análisis,Analizar los conceptos fundamentales de sistemas distribuidos.
Evaluación,Cuestionar los conceptos fundamentales de estructuras de datos.
Síntesis,Diseñar los conceptos fundamentales de pruebas de software.
Conocimiento,Enumerar los conceptos fundamentales de criptografía.
Análisis,Relacionar los conceptos fundamentales de realidad virtual.
Síntesis,Proponer los conceptos fundamentales de inteligencia artificial.
Evaluación,Comparar los conceptos fundamentales de ingeniería de software.
Síntesis,Integrar los conceptos fundamentales de internet de las cosas.
Aplicación,Demostrar los conceptos fundamentales de bioinformática.
Evaluación,Justificar los conceptos fundamentales de computación ubicua.
Evaluación,Examinar los conceptos fundamentales de realidad virtual.
Conocimiento,Describir los conceptos fundamentales de algoritmos.
Aplicación,Adaptar los conceptos fundamentales de análisis de algoritmos.
Análisis,Diferenciar los conceptos fundamentales de tecnologías móviles.
Síntesis,Reformular los conceptos fundamentales de pruebas de software.
Evaluación,Criticar los conceptos fundamentales de sistemas expertos.
Evaluación,Evaluar los conceptos fundamentales de robótica.
Aplicación,Programar los conceptos fundamentales de bioinformática.
Análisis,Organizar los conceptos fundamentales de computación ubicua.
Comprensión,Mostrar los conceptos fundamentales de criptografía.
Conocimiento,Recordar los conceptos fundamentales de internet de las cosas.
Comprensión,Interpretar los conceptos fundamentales de blockchain.
Síntesis,Construir los conceptos fundamentales de internet de las cosas.
Síntesis,Desarrollar los conceptos fundamentales de visualización de datos.
Análisis,Determinar los conceptos fundamentales de gamificación.
Conocimiento,Señalar los conceptos fundamentales de sistemas distribuidos.
Análisis,Determinar los conceptos fundamentales de computación cuántica.
Conocimiento,Repetir los conceptos fundamentales de internet de las cosas.
Aplicación,Simular los conceptos fundamentales de robótica.
Análisis,Inferir los conceptos fundamentales de teoría de autómatas.
Síntesis,Diseñar los conceptos fundamentales de procesamiento del lenguaje natural.
Análisis,Organizar los conceptos fundamentales de computación ubicua.
Aplicación,Demostrar los conceptos fundamentales de sistemas embebidos.
Análisis,Relacionar los conceptos fundamentales de teoría de autómatas.
Comprensión,Indicar los conceptos fundamentales de redes de computadoras.
Síntesis,Planificar los conceptos fundamentales de internet de las cosas.
Comprensión,Resumir los conceptos fundamentales de pruebas de software.
Aplicación,Usar los conceptos fundamentales de lenguajes de programación.
Evaluación,Examinar los conceptos fundamentales de computación en la nube.
Comprensión,Comparar los conceptos fundamentales de metodologías ágiles.
Evaluación,Cuestionar los conceptos fundamentales de realidad virtual.
Síntesis,Formular los conceptos fundamentales de internet de las cosas.
Análisis,Organizar los conceptos fundamentales de blockchain.
Síntesis,Proponer los conceptos fundamentales de tecnologías móviles.
Conocimiento,Identificar los conceptos fundamentales de aprendizaje automático.
Análisis,Separar los conceptos fundamentales de compiladores.
Conocimiento,Listar los conceptos fundamentales de tecnologías móviles.
Conocimiento,Listar los conceptos fundamentales de arquitectura de computadoras.
Síntesis,Construir los conceptos fundamentales de visualización de datos.
Aplicación,Ejecutar los conceptos fundamentales de estructuras de datos.
Comprensión,Mostrar los conceptos fundamentales de computación cuántica.
Aplicación,Simular los conceptos fundamentales de internet de las cosas.
Síntesis,Construir los conceptos fundamentales de análisis de algoritmos.
Evaluación,Justificar los conceptos fundamentales de ética informática.
Aplicación,Implementar los conceptos fundamentales de redes de computadoras.
Análisis,Evaluar los conceptos fundamentales de estructuras de datos.
Síntesis,Reformular los conceptos fundamentales de análisis de algoritmos.
Evaluación,Examinar los conceptos fundamentales de procesamiento del lenguaje natural.
Conocimiento,Repetir los conceptos fundamentales de robótica.
Conocimiento,Repetir los conceptos fundamentales de gamificación.
Síntesis,Planificar los conceptos fundamentales de gamificación.
Evaluación,Comparar los conceptos fundamentales de análisis de algoritmos.
Comprensión,Mostrar los conceptos fundamentales de ética informática.
Evaluación,Defender los conceptos fundamentales de aprendizaje automático.
Síntesis,Integrar los conceptos fundamentales de análisis de algoritmos.
Síntesis,Diseñar los conceptos fundamentales de lenguajes de programación.
Síntesis,Formular los conceptos fundamentales de algoritmos.
Conocimiento,Definir los conceptos fundamentales de aprendizaje automático.
Conocimiento,Describir los conceptos fundamentales de realidad aumentada.
Conocimiento,Identificar los conceptos fundamentales de aprendizaje automático.
Análisis,Inferir los conceptos fundamentales de interfaces humano-computadora.
Conocimiento,Describir los conceptos fundamentales de compiladores.
Evaluación,Criticar los conceptos fundamentales de arquitectura de computadoras.
Análisis,Detectar los conceptos fundamentales de simulación por computadora.
Síntesis,Construir los conceptos fundamentales de computación ubicua.
Comprensión,Interpretar los conceptos fundamentales de realidad virtual.
Análisis,Analizar los conceptos fundamentales de desarrollo web.
Aplicación,Aplicar los conceptos fundamentales de compiladores.
Aplicación,Ejecutar los conceptos fundamentales de criptografía.
Comprensión,Distinguir los conceptos fundamentales de computación cuántica.
Aplicación,Usar los conceptos fundamentales de estructuras de datos.
Aplicación,Programar los conceptos fundamentales de informática forense.
Análisis,Separar los conceptos fundamentales de blockchain.
Aplicación,Programar los conceptos fundamentales de bioinformática.
Comprensión,Indicar los conceptos fundamentales de aprendizaje automático.
Conocimiento,Repetir los conceptos fundamentales de lenguajes de programación.
Conocimiento,Reconocer los conceptos fundamentales de sistemas operativos.
Análisis,Diferenciar los conceptos fundamentales de algoritmos.
